Sum,Date,Date formatted,Poor ,Borderline,Not Poor,Survey Population,Raw Count Poor,Raw Count Borderline,Raw Count Not Poor,Area,Month Only
100,5/1/2021,2021-05-01,59,35,6,300,177,105,18,Mindanao,5
100,5/1/2021,2021-05-01,56,39,5,300,168,117,15,Visayas,5
100,5/1/2021,2021-05-01,45,31,24,300,135,93,72,Balance Luzon,5
100,5/1/2021,2021-05-01,39,31,30,300,117,93,90,Metro Manila,5
100,6/1/2021,2021-06-01,51,42,7,300,153,126,21,Mindanao,6
101,6/1/2021,2021-06-01,70,24,7,300,210,72,21,Visayas,6
100,6/1/2021,2021-06-01,38,28,34,300,114,84,102,Balance Luzon,6
100,6/1/2021,2021-06-01,43,19,38,300,129,57,114,Metro Manila,6
100,9/1/2021,2021-09-01,58,34,8,300,174,102,24,Mindanao,9
100,9/1/2021,2021-09-01,54,42,4,300,162,126,12,Visayas,9
100,9/1/2021,2021-09-01,38,32,30,300,114,96,90,Balance Luzon,9
100,9/1/2021,2021-09-01,34,30,36,300,102,90,108,Metro Manila,9
100,12/1/2021,2021-12-01,43,48,9,300,129,144,27,Mindanao,12
100,12/1/2021,2021-12-01,59,33,8,300,177,99,24,Visayas,12
100,12/1/2021,2021-12-01,41,34,25,300,123,102,75,Balance Luzon,12
100,12/1/2021,2021-12-01,25,47,28,300,75,141,84,Metro Manila,12
100,4/1/2022,2022-04-01,60,33,7,300,180,99,21,Mindanao,4
100,4/1/2022,2022-04-01,48,46,6,300,144,138,18,Visayas,4
100,4/1/2022,2022-04-01,35,28,37,300,105,84,111,Balance Luzon,4
100,4/1/2022,2022-04-01,32,42,26,300,96,126,78,Metro Manila,4
100,6/1/2022,2022-06-01,62,31,7,300,186,93,21,Mindanao,6
100,6/1/2022,2022-06-01,64,26,10,300,192,78,30,Visayas,6
100,6/1/2022,2022-06-01,36,36,28,300,108,108,84,Balance Luzon,6
100,6/1/2022,2022-06-01,41,22,37,300,123,66,111,Metro Manila,6
100,10/1/2022,2022-10-01,64,28,8,300,192,84,24,Mindanao,10
100,10/1/2022,2022-10-01,68,21,11,300,204,63,33,Visayas,10
100,10/1/2022,2022-10-01,36,35,29,300,108,105,87,Balance Luzon,10
100,10/1/2022,2022-10-01,44,23,33,300,132,69,99,Metro Manila,10
100,12/1/2022,2022-12-01,59,30,11,300,177,90,33,Mindanao,12
100,12/1/2022,2022-12-01,57,34,9,300,171,102,27,Visayas,12
