Year,Month,Poor,Borderline,Not Poor,Total Respondents Percentage,Total Respondents Base,Poor Respondent Count,Borderline Respondent Count,Not Poor Respondent Count
1985,1985-July,74,13,13,100,1200,888,156,156
1986,1986-May,66,16,18,100,1200,792,192,216
,1986-October,67,13,20,100,1200,804,156,240
1987,1987-March,43,40,17,100,1200,516,480,204
,1987-October,50,41,9,100,1200,600,492,108
1988,1988-September,66,22,12,100,1200,792,264,144
1989,1989-February,63,14,23,100,1200,756,168,276
,1989-September,60,27,13,100,1200,720,324,156
1990,1990-April,66,20,14,100,1200,792,240,168
,1990-November,70,14,16,100,1200,840,168,192
1991,1991-July,71,21,8,100,1200,852,252,96
,1991-November,62,26,12,100,1200,744,312,144
1992,1992-February,72,12,16,100,1200,864,144,192
,1992-April,67,22,11,100,1200,804,264,132
,1992-September,65,16,19,100,1200,780,192,228
,1992-December,58,26,16,100,1200,696,312,192
1993,1993-April,65,23,12,100,1200,780,276,144
,1993-July,59,19,22,100,1200,708,228,264
,1993-September,67,19,14,100,1200,804,228,168
,1993-December,68,15,17,100,1200,816,180,204
1994,1994-April,69,18,13,100,1200,828,216,156
,1994-August,67,24,9,100,1200,804,288,108
,1994-November,68,17,15,100,1200,816,204,180
,1994-December,67,18,15,100,1200,804,216,180
1995,1995-March,63,23,14,100,1200,756,276,168
,1995-June,65,21,14,100,1200,780,252,168
,1995-October,62,25,13,100,1200,744,300,156
,1995-December,61,26,13,100,1200,732,312,156
1996,1996-April,59,28,13,100,1200,708,336,156
,1996-June,57,31,12,100,1200,684,372,144
,1996-September,57,28,15,100,1200,684,336,180
,1996-December,61,25,14,100,1200,732,300,168
1997,1997-April,58,26,16,100,1200,696,312,192
,1997-June,58,24,18,100,1200,696,288,216
,1997-September,58,28,14,100,1200,696,336,168
,1997-December,63,24,13,100,1200,756,288,156
1998,1998-February,57,27,16,100,1200,684,324,192
,1998-March,59,23,18,100,1200,708,276,216
,1998-July,61,23,16,100,1200,732,276,192
,1998-September,65,20,15,100,1200,780,240,180
,1998-November,59,27,14,100,1200,708,324,168
1999,1999-March,62,24,14,100,1200,744,288,168
,1999-June,59,27,14,100,1200,708,324,168
,1999-October,63,22,15,100,1200,756,264,180
,1999-December,59,29,12,100,1200,708,348,144
2000,2000-March,58,32,10,100,1200,696,384,120
,2000-July,54,34,12,100,1200,648,408,144
,2000-September,57,29,14,100,1200,684,348,168
,2000-December,56,30,14,100,1200,672,360,168
2001,2001-March,59,26,15,100,1200,708,312,180
,2001-July,66,25,9,100,1200,792,300,108
,2001-September,63,28,9,100,1200,756,336,108
,2001-November,60,26,14,100,1200,720,312,168
2002,2002-March,58,25,17,100,1200,696,300,204
,2002-May,66,24,10,100,1200,792,288,120
,2002-September,66,17,17,100,1200,792,204,204
,2002-November,61,24,15,100,1200,732,288,180
2003,2003-March,59,22,19,100,1200,708,264,228
,2003-June,53,30,17,100,1200,636,360,204
,2003-September,62,21,17,100,1200,744,252,204
,2003-November,63,15,22,100,1200,756,180,264
2004,2004-March,57,15,28,100,1200,684,180,336
,2004-June,46,31,23,100,1200,552,372,276
,2004-August,54,28,18,100,1200,648,336,216
,2004-December,48,35,17,100,1200,576,420,204
2005,2005-March,48,34,18,100,1200,576,408,216
,2005-May,57,26,17,100,1200,684,312,204
,2005-August,49,25,26,100,1200,588,300,312
,2005-December,57,22,21,100,1200,684,264,252
2006,2006-March,56,28,16,100,1200,672,336,192
,2006-June,59,23,18,100,1200,708,276,216
,2006-September,51,27,22,100,1200,612,324,264
,2006-November,52,21,27,100,1200,624,252,324
2007,2007-February,53,20,27,100,1200,636,240,324
,2007-June,47,28,25,100,1200,564,336,300
,2007-September,52,22,26,100,1200,624,264,312
,2007-December,45,27,28,100,1200,540,324,336
2008,2008-March,50,24,26,100,1200,600,288,312
